assessmentId,programmingExerciseId,block,total,totalacertos
1897677159,48684178,11,15,14
1897677159,704983377,2,21,21
1897677159,775838323,16,11,10
1897677159,1078076002,15,12,11
1897677159,1462915504,10,12,11
1897677159,1626817775,9,16,13
1897677159,1927446959,4,17,17
1897677159,2132966528,5,19,19
1897677159,2383239197,14,9,9
1897677159,2667036473,3,21,21
1897677159,2819779400,8,17,16
1897677159,3455942218,7,19,17
1897677159,3691284457,12,13,13
1897677159,3902794658,1,24,22
1897677159,3921830315,13,12,10
1897677159,4233865845,6,19,19
2445341515,299355888,4,2,2
2445341515,316614342,3,2,2
2445341515,494982382,4,4,4
2445341515,604674078,1,4,3
2445341515,605654664,4,0,0
2445341515,680711497,3,4,4
2445341515,874045616,2,4,4
2445341515,971010696,2,1,1
2445341515,1050673866,2,6,6
2445341515,1057321721,4,2,2
2445341515,1092214117,4,2,2
2445341515,1106645573,1,3,3
2445341515,1128387558,1,3,3
2445341515,1210323305,1,3,3
2445341515,1245234979,2,4,4
2445341515,1417620616,1,2,2
2445341515,1420232579,1,1,1
2445341515,1435819351,2,2,2
2445341515,1720053066,2,2,2
2445341515,1914301514,4,3,3
2445341515,2011582555,3,1,1
2445341515,2086141900,3,3,3
2445341515,2249045874,3,3,3
2445341515,2332513434,1,4,3
2445341515,2510511830,4,3,3
2445341515,2559670275,2,0,0
2445341515,2776385901,1,2,2
2445341515,3306861601,3,3,3
2445341515,3348296077,4,2,2
2445341515,3449543993,3,4,4
2445341515,3833385198,4,3,3
2445341515,3836350213,2,2,2
2445341515,3900746921,2,2,1
2445341515,3968058195,1,0,0
2445341515,4204267109,2,0,0
2445341515,4228375981,1,2,2
2601575092,146336312,8,24,21
2601575092,211162095,1,28,27
2601575092,291286518,15,18,18
2601575092,354104495,16,19,18
2601575092,359632665,7,24,24
2601575092,854576230,12,21,20
2601575092,1467685783,5,24,24
2601575092,1964285824,10,23,21
2601575092,2149359571,4,26,25
2601575092,2650572580,2,27,24
2601575092,3221148872,3,27,26
2601575092,3444416998,9,24,23
2601575092,3530285078,13,20,18
2601575092,3788368433,14,22,21
2601575092,3940197836,11,20,20
2601575092,4190502342,6,24,24
3334494446,208040576,9,14,14
3334494446,593159971,11,14,14
3334494446,997093868,6,14,14
3334494446,1026882843,8,14,14
3334494446,1319609354,4,14,14
3334494446,1559799913,1,16,15
3334494446,1630070338,7,14,14
3334494446,2296111720,3,14,14
3334494446,2403290319,2,16,14
3334494446,2826299531,5,14,14
3334494446,2935826613,10,14,14
3334494446,3198308593,12,14,14
