assessmentId,programmingExerciseId,block,total,totalacertos
831076482,146336312,8,15,15
831076482,211162095,1,17,17
831076482,291286518,12,15,15
831076482,359632665,7,16,15
831076482,854576230,9,15,15
831076482,1467685783,5,15,15
831076482,2149359571,4,15,15
831076482,2416501300,2,17,17
831076482,3221148872,3,17,17
831076482,3530285078,10,15,15
831076482,3788368433,11,16,15
831076482,4190502342,6,15,15
2110095464,674628499,10,9,9
2110095464,795845062,9,9,9
2110095464,1076448396,1,12,12
2110095464,1396698442,7,9,9
2110095464,1934415188,3,11,11
2110095464,2520838975,6,11,10
2110095464,2862582401,5,11,11
2110095464,3044199709,8,9,9
2110095464,3902365382,4,11,11
2110095464,4011687730,2,12,12
2277843042,704983377,2,15,14
2277843042,775838323,8,12,12
2277843042,1078076002,7,13,12
2277843042,1927446959,4,13,13
2277843042,2383239197,6,13,13
2277843042,2667036473,3,15,15
2277843042,3806002331,5,15,15
2277843042,3902794658,1,17,15
2365443798,95297336,7,0,0
2365443798,254684124,1,1,1
2365443798,359761547,2,0,0
2365443798,536077101,8,0,0
2365443798,671179476,15,0,0
2365443798,760184605,13,0,0
2365443798,977898820,12,0,0
2365443798,1286462953,10,0,0
2365443798,1471864603,11,0,0
2365443798,1492666623,6,0,0
2365443798,2288958116,9,0,0
2365443798,3090212252,14,0,0
2365443798,3974737893,3,0,0
2365443798,3995606484,16,0,0
2365443798,4093783519,4,0,0
2365443798,4142573950,5,0,0
2627828506,299355888,4,1,1
2627828506,316614342,3,2,2
2627828506,494982382,4,2,2
2627828506,604674078,1,1,1
2627828506,605654664,4,2,2
2627828506,680711497,3,2,2
2627828506,874045616,2,0,0
2627828506,971010696,2,1,1
2627828506,1050673866,2,1,1
2627828506,1057321721,4,4,2
2627828506,1092214117,4,0,0
2627828506,1106645573,1,4,4
2627828506,1128387558,1,1,1
2627828506,1210323305,1,1,1
2627828506,1245234979,2,2,2
2627828506,1417620616,1,1,1
2627828506,1420232579,1,2,1
2627828506,1435819351,2,2,2
2627828506,1720053066,2,2,1
2627828506,1914301514,4,1,1
2627828506,2011582555,3,3,2
2627828506,2086141900,3,2,2
2627828506,2249045874,3,2,2
2627828506,2332513434,1,1,1
2627828506,2510511830,4,1,0
2627828506,2559670275,2,2,1
2627828506,2776385901,1,1,1
2627828506,3306861601,3,0,0
2627828506,3348296077,4,0,0
2627828506,3449543993,3,1,1
2627828506,3833385198,4,1,1
2627828506,3836350213,2,3,2
2627828506,3900746921,2,1,1
2627828506,3968058195,1,2,2
2627828506,4204267109,2,0,0
2627828506,4228375981,1,0,0
2936945225,48684178,11,10,10
2936945225,704983377,2,11,11
2936945225,775838323,16,10,10
2936945225,1078076002,15,11,11
2936945225,1462915504,10,10,10
2936945225,1626817775,9,10,10
2936945225,1927446959,4,10,10
2936945225,2132966528,5,10,10
2936945225,2383239197,14,11,11
2936945225,2667036473,3,11,11
2936945225,2819779400,8,10,10
2936945225,3455942218,7,10,10
2936945225,3691284457,12,10,10
2936945225,3902794658,1,12,11
2936945225,3921830315,13,10,10
2936945225,4233865845,6,10,10
3783255937,208040576,9,12,12
3783255937,593159971,11,12,12
3783255937,997093868,6,12,12
3783255937,1026882843,8,13,12
3783255937,1319609354,4,12,12
3783255937,1559799913,1,13,13
3783255937,1630070338,7,13,13
3783255937,2296111720,3,12,12
3783255937,2403290319,2,13,12
3783255937,2826299531,5,12,12
3783255937,2935826613,10,12,12
3783255937,3198308593,12,13,12
3908701549,9187097,1,0,0
3908701549,193625597,2,0,0
3908701549,289774185,1,0,0
3908701549,425501011,3,0,0
3908701549,481933092,1,0,0
3908701549,520104580,4,0,0
3908701549,574422674,2,0,0
3908701549,636826515,2,0,0
3908701549,731742138,3,0,0
3908701549,761092591,1,0,0
3908701549,794929878,4,0,0
3908701549,829296940,2,0,0
3908701549,943741710,2,0,0
3908701549,959845624,2,0,0
3908701549,1005919218,1,0,0
3908701549,1102448772,4,0,0
3908701549,1173317648,2,0,0
3908701549,1437577936,2,0,0
3908701549,1726902884,4,0,0
3908701549,1874138233,1,0,0
3908701549,1882681310,3,0,0
3908701549,2112871351,3,0,0
3908701549,2153598866,1,0,0
3908701549,2163063328,4,0,0
3908701549,2367319977,1,0,0
3908701549,2815038436,1,0,0
3908701549,2835765550,1,0,0
3908701549,2942877484,4,0,0
3908701549,3090255798,4,0,0
3908701549,3163761635,3,0,0
3908701549,3239583994,3,0,0
3908701549,3304222319,3,0,0
3908701549,3329775632,4,0,0
3908701549,3331354138,2,0,0
3908701549,3348986355,2,0,0
3908701549,3472483854,2,0,0
3908701549,3808581428,3,0,0
3908701549,3929259571,4,0,0
3908701549,4030134091,3,0,0
4282033574,42327025,2,1,1
4282033574,733037419,7,1,1
4282033574,908842278,6,1,1
4282033574,1440304203,4,1,1
4282033574,1493564299,1,1,1
4282033574,1755206728,8,1,1
4282033574,3623786691,5,1,1
4282033574,4268709522,3,1,1
