assessmentId,programmingExerciseId,block,total,totalacertos
71079933,146336312,8,42,37
71079933,211162095,1,46,44
71079933,291286518,12,35,33
71079933,359632665,7,44,43
71079933,854576230,9,41,37
71079933,1467685783,5,44,44
71079933,2149359571,4,44,44
71079933,2416501300,2,44,44
71079933,3221148872,3,44,44
71079933,3530285078,10,39,39
71079933,3788368433,11,40,35
71079933,4190502342,6,44,44
1584167357,208040576,9,42,42
1584167357,593159971,11,42,42
1584167357,997093868,6,42,42
1584167357,1026882843,8,42,42
1584167357,1319609354,4,42,42
1584167357,1559799913,1,44,42
1584167357,1630070338,7,42,42
1584167357,2296111720,3,42,42
1584167357,2403290319,2,42,42
1584167357,2826299531,5,42,42
1584167357,2935826613,10,43,41
1584167357,3198308593,12,42,42
2118643220,299355888,4,3,3
2118643220,316614342,3,6,6
2118643220,494982382,4,2,2
2118643220,604674078,1,1,1
2118643220,605654664,4,2,2
2118643220,680711497,3,4,3
2118643220,874045616,2,3,2
2118643220,971010696,2,6,6
2118643220,1050673866,2,2,2
2118643220,1057321721,4,2,1
2118643220,1092214117,4,4,3
2118643220,1106645573,1,6,6
2118643220,1128387558,1,7,7
2118643220,1210323305,1,6,6
2118643220,1245234979,2,6,6
2118643220,1417620616,1,5,5
2118643220,1420232579,1,5,5
2118643220,1435819351,2,4,4
2118643220,1720053066,2,3,2
2118643220,1914301514,4,5,4
2118643220,2011582555,3,7,7
2118643220,2086141900,3,4,4
2118643220,2249045874,3,7,6
2118643220,2332513434,1,5,3
2118643220,2510511830,4,5,4
2118643220,2559670275,2,7,6
2118643220,2776385901,1,2,2
2118643220,3306861601,3,6,5
2118643220,3348296077,4,9,8
2118643220,3449543993,3,4,4
2118643220,3833385198,4,2,2
2118643220,3836350213,2,2,2
2118643220,3900746921,2,3,3
2118643220,3968058195,1,1,1
2118643220,4204267109,2,4,2
2118643220,4228375981,1,2,2
2651470117,48684178,11,26,26
2651470117,704983377,2,37,37
2651470117,775838323,16,24,24
2651470117,1078076002,15,23,23
2651470117,1462915504,10,26,25
2651470117,1626817775,9,28,27
2651470117,1927446959,4,34,33
2651470117,2132966528,5,30,30
2651470117,2383239197,14,23,22
2651470117,2667036473,3,36,36
2651470117,2819779400,8,30,29
2651470117,3455942218,7,29,29
2651470117,3691284457,12,26,26
2651470117,3902794658,1,41,38
2651470117,3921830315,13,25,24
2651470117,4233865845,6,30,30
3435325918,95297336,7,12,12
3435325918,254684124,1,27,27
3435325918,359761547,2,22,22
3435325918,536077101,8,5,4
3435325918,671179476,15,1,1
3435325918,760184605,13,3,3
3435325918,977898820,12,3,3
3435325918,1286462953,10,3,3
3435325918,1471864603,11,3,3
3435325918,1492666623,6,11,10
3435325918,2288958116,9,5,5
3435325918,3090212252,14,2,1
3435325918,3974737893,3,23,21
3435325918,3995606484,16,1,1
3435325918,4093783519,4,17,16
3435325918,4142573950,5,14,14
