ID,DATE_START,SEMESTER_ID,CLASS_ID,ASSESSMENT_TYPE,ASSESSMENTS_ID,USER_ID,MPL_VALUE,IRBO_GRADE
1,2025-09-02,2025-2,610742602,TP 1,2563853024,14016319,9.84,O
2,2025-08-26,2025-2,610742602,Lab 1,677928262,14016319,0.932,O
