ID,DATE_START,SEMESTER_ID,CLASS_ID,USER_ID,CONSISTENCY,ASSESSMENT_TYPE,ASSESSMENTS_ID,EXERCISE_ID,ALL_CTS_PASSED,MPL_VALUE,SUM_GRADES,COUNT_GRADES
60,2023-04-24,2022-2,485,1946,True,Lab 3,4553,5233,True,0.25,1.0,4
61,2023-04-26,2022-2,485,1946,False,Lab 3,4553,5241,False,0.0,0.0,0
62,2023-04-24,2022-2,485,1946,True,Lab 3,4553,5259,True,1.0,1.0,1
63,2023-05-08,2022-2,485,1946,True,TP 3,4610,3037,True,1.0,1.0,1
64,2023-05-08,2022-2,485,1946,True,TP 3,4610,6071,True,0.6683333333333333,4.01,6
65,2023-05-08,2022-2,485,1946,True,TP 3,4610,6111,True,0.835,1.67,2
66,2023-05-08,2022-2,485,1946,True,TP 3,4610,6150,True,1.0,1.0,1
67,2023-03-22,2022-2,485,4282,True,Lab 1,4399,2895,True,1.0,1.0,1
68,2023-03-22,2022-2,485,4282,True,Lab 1,4399,2938,True,1.0,1.0,1
69,2023-03-22,2022-2,485,4282,True,Lab 1,4399,4236,True,1.0,1.0,1
70,2023-04-05,2022-2,485,4282,True,TP 1,4452,1364,True,1.0,1.0,1
71,2023-04-05,2022-2,485,4282,True,TP 1,4452,5169,True,1.0,1.0,1
72,2023-04-05,2022-2,485,4282,True,TP 1,4452,5918,True,1.0,1.0,1
73,2023-04-05,2022-2,485,4282,True,TP 1,4452,5935,True,1.0,1.0,1
74,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1391,True,1.0,1.0,1
75,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1395,True,1.0,1.0,1
76,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1397,True,1.0,1.0,1
77,2023-04-11,2022-2,485,4282,True,Lab 2,4477,2445,True,1.0,1.0,1
78,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2449,True,1.0,1.0,1
79,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2703,True,1.0,1.0,1
80,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2967,True,0.16666666666666666,1.0,6
81,2023-04-11,2022-2,485,4282,True,Lab 2,4477,2969,True,0.835,1.67,2
82,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2970,True,1.0,1.0,1
83,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2971,True,0.5,1.0,2
84,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2972,True,1.0,1.0,1
85,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2973,True,1.0,1.0,1
86,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2975,True,1.0,1.0,1
87,2023-04-10,2022-2,485,4282,True,Lab 2,4477,3334,True,1.0,1.0,1
88,2023-04-10,2022-2,485,4282,True,Lab 2,4477,5955,True,1.0,1.0,1
89,2023-05-03,2022-2,485,4282,True,Lab 3,4553,1117,True,1.0,1.0,1
90,2023-05-03,2022-2,485,4282,True,Lab 3,4553,1487,True,0.5,1.0,2
91,2023-05-03,2022-2,485,4282,True,Lab 3,4553,3039,True,1.0,1.0,1
92,2023-05-03,2022-2,485,4282,True,Lab 3,4553,3056,True,1.0,1.0,1
93,2023-05-03,2022-2,485,4282,True,Lab 3,4553,5233,True,1.0,1.0,1
94,2023-05-03,2022-2,485,4282,True,Lab 3,4553,5239,True,1.0,1.0,1
95,2023-05-03,2022-2,485,4282,True,Lab 3,4553,5241,True,1.0,1.0,1
96,2023-05-03,2022-2,485,4282,True,Lab 3,4553,5259,True,1.0,1.0,1
97,2023-05-03,2022-2,485,4282,True,Lab 3,4553,6093,True,1.0,1.0,1
98,2023-05-03,2022-2,485,4282,True,Lab 3,4553,6094,True,1.0,1.0,1
99,2023-05-03,2022-2,485,4282,True,Lab 3,4553,6095,True,1.0,1.0,1
100,2023-05-03,2022-2,485,4282,True,Lab 3,4553,6104,True,1.0,1.0,1
101,2023-05-08,2022-2,485,4282,True,TP 3,4610,3036,True,0.5,1.0,2
102,2023-05-08,2022-2,485,4282,True,TP 3,4610,6070,True,1.0,1.0,1
103,2023-05-08,2022-2,485,4282,True,TP 3,4610,6124,True,1.0,1.0,1
104,2023-05-08,2022-2,485,4282,True,TP 3,4610,6150,True,0.665,1.33,2
105,2023-05-17,2022-2,485,4282,True,Lab 4,4629,5287,True,1.0,1.0,1
106,2023-05-17,2022-2,485,4282,True,Lab 4,4629,5305,True,0.665,1.33,2
107,2023-05-15,2022-2,485,4282,True,Lab 4,4629,6042,True,1.0,1.0,1
108,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6044,True,1.0,1.0,1
109,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6048,True,0.5,1.0,2
110,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6050,True,1.0,1.0,1
111,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6051,True,1.0,1.0,1
112,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6085,True,1.0,1.0,1
113,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6193,True,1.0,1.0,1
114,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6194,True,0.3333333333333333,1.0,3
115,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6195,False,0.0,0.0,18
116,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6215,True,0.5,1.0,2
117,2023-05-17,2022-2,485,4282,True,Lab 4,4629,6224,True,1.0,1.0,1
118,2023-05-22,2022-2,485,4282,True,TP 4,4673,6212,True,0.7799999999999999,2.34,3
119,2023-05-22,2022-2,485,4282,True,TP 4,4673,6222,True,0.835,1.67,2
120,2023-05-22,2022-2,485,4282,True,TP 4,4673,6246,True,1.0,1.0,1
121,2023-05-24,2022-2,485,4282,True,Lab 5,4697,1186,True,1.0,1.0,1
122,2023-05-27,2022-2,485,4282,True,Lab 5,4697,1605,True,1.0,1.0,1
123,2023-05-28,2022-2,485,4282,True,Lab 5,4697,1614,True,1.0,1.0,1
124,2023-05-28,2022-2,485,4282,True,Lab 5,4697,1621,True,1.0,1.0,1
