ID_USER,ID_ASSESSMENT,ID_CLASS,YEAR,SEMESTER,ASSESSMENT_DATE_START,ASSESSMENT_TITLE,ASSESSMENT_TYPE,GRADE
1059,4947,525,2023,1,2023-08-14 16:00:00,Extra 2 - Estrutura Condicional Composta,1,0
1059,5017,525,2023,1,2023-09-18 16:00:00,Extra 4 – Repetição por Condição (while) ,1,0
1059,5018,523,2023,1,2023-09-12 09:30:00,Lab 4 – Repetição por Condição (while),1,0
1059,5019,523,2023,1,2023-09-12 09:30:00,Extra 4 – Repetição por Condição (while) ,1,0
1059,5038,529,2023,1,2023-09-18 14:00:00,Lab 4 – Repetição por Condição (while),1,0
1059,5052,529,2023,1,2023-09-20 15:00:00,Extra 4 – Repetição por Condição (while) ,1,0
1059,4980,525,2023,1,2023-08-28 17:30:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
1059,5134,525,2023,1,2023-10-18 16:30:00,Extras 6 - Repetição por Contagem (for),1,0
1242,4385,485,2022,2,2023-03-20 11:00:00,Lab 0 – Primeiros passos com o Python,1,10
1242,4425,485,2022,2,2023-03-29 10:20:00,Simulado 01 - Variáveis e Estrutura Sequencial,1,0
1242,4402,485,2022,2,2023-03-22 12:00:00,Extras 1 - Variáveis e Estrutura Sequencial (2020),1,8.18182
1242,4477,485,2022,2,2023-04-10 11:30:00,Lab 2 - Estrutura Condicional Composta,1,5
1242,4527,485,2022,2,2023-04-17 10:00:00,Simulado 2 - Estrutura Condicional Composta,1,6.66667
1242,4526,485,2022,2,2023-04-20 14:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
6092,4536,486,2022,2,2023-04-19 20:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
1242,4399,485,2022,2,2023-03-22 12:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
1242,4452,485,2022,2,2023-04-13 10:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
1242,4553,485,2022,2,2023-04-24 10:50:00,Lab 3 - Estrutura Condicional Encadeada,1,8
1242,4554,485,2022,2,2023-04-24 10:50:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
1242,4610,485,2022,2,2023-05-08 10:00:00,TP 03 – Condicionais Encadeadas (if/elif),2,10
1242,4629,485,2022,2,2023-05-10 12:00:00,Lab 4 – Repetição por Condição (while),1,0
1242,4655,485,2022,2,2023-05-15 12:00:00,Extras 4 – Repetição por Condição (while) ,1,0
8797,5148,528,2023,1,2023-10-19 19:30:00,Extras 6 - Repetição por Contagem (for),1,0
6128,3370,408,2021,2,2022-06-01 16:00:00,Extras 1 - Variáveis e Estrutura Sequencial,1,3.63636
7211,3481,409,2021,2,2022-06-23 17:30:00,Lab 2 - Estrutura Condicional Composta,1,7.17692
7161,3767,407,2021,2,2022-08-23 00:00:00,Extras 6 - Repetição por Contagem (for),1,8.33333
1769,4447,486,2022,2,2023-04-05 20:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
1769,4487,486,2022,2,2023-04-10 21:30:00,Lab 2 - Estrutura Condicional Composta,1,10
1769,4447,486,2022,2,2023-04-05 20:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
1769,4407,486,2022,2,2023-03-22 21:30:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
