



7636,4385,485,2022,2,2023-03-20 11:00:00,Lab 0 – Primeiros passos com o Python,1,10


7636,4399,485,2022,2,2023-03-22 12:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
7636,4402,485,2022,2,2023-03-22 12:00:00,Extras 1 - Variáveis e Estrutura Sequencial (2020),1,10
7636,4425,485,2022,2,2023-03-29 10:20:00,Simulado 01 - Variáveis e Estrutura Sequencial,1,0
7636,4452,485,2022,2,2023-04-13 10:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10


7636,4477,485,2022,2,2023-04-10 11:30:00,Lab 2 - Estrutura Condicional Composta,1,10
7636,4499,485,2022,2,2023-04-10 10:00:00,Extra 2 - Estrutura Condicional Composta,1,10
7636,4527,485,2022,2,2023-04-17 10:00:00,Simulado 2 - Estrutura Condicional Composta,1,3.33333
7636,4526,485,2022,2,2023-04-20 14:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10


7636,4553,485,2022,2,2023-04-24 10:50:00,Lab 3 - Estrutura Condicional Encadeada,1,10
7636,4554,485,2022,2,2023-04-24 10:50:00,Extra 3 - Condicionais Encadeados (if/elif),1,10
7636,4590,485,2022,2,2023-05-03 10:00:00,Simulado 3 - Condicionais Encadeados (if/elif),1,0
7636,4610,485,2022,2,2023-05-08 10:00:00,TP 03 – Condicionais Encadeadas (if/elif),2,10


7636,4629,485,2022,2,2023-05-10 12:00:00,Lab 4 – Repetição por Condição (while),1,10
7636,4655,485,2022,2,2023-05-15 12:00:00,Extras 4 – Repetição por Condição (while) ,1,5
7636,4673,485,2022,2,2023-05-22 10:00:00,TP 04: Estrutura de Repetição por Condição,2,10


7636,4697,485,2022,2,2023-05-24 11:50:00,Lab 5 - Vetores e Strings,1,10
7636,4722,485,2022,2,2023-05-29 10:00:00,Desafios 5 - Vetores e Strings,1,0
7636,4749,485,2022,2,2023-06-05 10:00:00,TP 05: Vetores e Strings,2,10


7636,4757,485,2022,2,2023-06-07 11:00:00,Lab 6 - Repetição por Contagem (for),1,10
7636,4758,485,2022,2,2023-06-07 11:00:00,Extras 6 - Repetição por Contagem (for),1,3.33333
7636,4797,485,2022,2,2023-06-19 10:00:00,TP 6: Estrutura de Repetição por Contagem (for),2,10


