assessmentId,programmingExerciseId,block,total,totalacertos
903431226,208040576,9,24,24
903431226,593159971,11,23,23
903431226,997093868,6,24,24
903431226,1026882843,8,24,24
903431226,1319609354,4,24,24
903431226,1559799913,1,26,25
903431226,1630070338,7,24,24
903431226,2296111720,3,25,25
903431226,2403290319,2,25,25
903431226,2826299531,5,24,24
903431226,2935826613,10,23,23
903431226,3198308593,12,23,23
1107611404,48684178,11,25,24
1107611404,704983377,2,33,33
1107611404,775838323,16,24,24
1107611404,1078076002,15,28,24
1107611404,1462915504,10,25,25
1107611404,1626817775,9,24,24
1107611404,1927446959,4,27,27
1107611404,2132966528,5,26,26
1107611404,2383239197,14,25,25
1107611404,2667036473,3,33,33
1107611404,2819779400,8,25,25
1107611404,3455942218,7,27,25
1107611404,3691284457,12,24,24
1107611404,3902794658,1,34,33
1107611404,3921830315,13,26,25
1107611404,4233865845,6,26,26
1686127217,146336312,8,9,9
1686127217,211162095,1,27,24
1686127217,291286518,12,8,8
1686127217,359632665,7,14,11
1686127217,854576230,9,24,22
1686127217,1467685783,5,14,14
1686127217,2149359571,4,17,15
1686127217,2416501300,2,18,16
1686127217,3221148872,3,26,25
1686127217,3530285078,10,12,9
1686127217,3788368433,11,24,17
1686127217,4190502342,6,14,14
2304143742,95297336,7,16,16
2304143742,254684124,1,20,20
2304143742,359761547,2,17,16
2304143742,536077101,8,5,5
2304143742,671179476,15,0,0
2304143742,760184605,13,1,1
2304143742,977898820,12,2,2
2304143742,1286462953,10,8,7
2304143742,1471864603,11,3,3
2304143742,1492666623,6,7,7
2304143742,2288958116,9,13,12
2304143742,3090212252,14,12,7
2304143742,3974737893,3,19,19
2304143742,3995606484,16,0,0
2304143742,4093783519,4,14,13
2304143742,4142573950,5,9,9
3239899347,299355888,4,0,0
3239899347,316614342,3,2,2
3239899347,494982382,4,2,2
3239899347,604674078,1,4,4
3239899347,605654664,4,3,2
3239899347,680711497,3,2,2
3239899347,874045616,2,1,0
3239899347,971010696,2,2,2
3239899347,1050673866,2,3,2
3239899347,1057321721,4,2,2
3239899347,1092214117,4,3,3
3239899347,1106645573,1,0,0
3239899347,1128387558,1,1,0
3239899347,1210323305,1,2,2
3239899347,1245234979,2,3,3
3239899347,1417620616,1,3,3
3239899347,1420232579,1,2,2
3239899347,1435819351,2,3,2
3239899347,1720053066,2,1,1
3239899347,1914301514,4,0,0
3239899347,2011582555,3,4,2
3239899347,2086141900,3,4,4
3239899347,2249045874,3,3,3
3239899347,2332513434,1,1,1
3239899347,2510511830,4,2,2
3239899347,2559670275,2,1,1
3239899347,2776385901,1,3,3
3239899347,3306861601,3,4,3
3239899347,3348296077,4,5,5
3239899347,3449543993,3,2,2
3239899347,3833385198,4,1,1
3239899347,3836350213,2,3,2
3239899347,3900746921,2,4,4
3239899347,3968058195,1,3,2
3239899347,4204267109,2,2,2
3239899347,4228375981,1,5,5
3933884819,674628499,10,6,5
3933884819,795845062,9,8,8
3933884819,1076448396,1,19,16
3933884819,1396698442,7,8,8
3933884819,1934415188,3,16,15
3933884819,2520838975,6,10,10
3933884819,2862582401,5,14,12
3933884819,3044199709,8,9,9
3933884819,3902365382,4,16,16
3933884819,4011687730,2,17,16
